cell	cell_type
RD_SRR11619262	cDC
RD_SRR11619263	cDC
RD_SRR11619267	T cell
RD_SRR11619268	cDC
RD_SRR11619269	Macrophage
RD_SRR11619275	T cell
RD_SRR11619276	Macrophage
RD_SRR11619277	Fibroblast
RD_SRR11619279	Macrophage
RD_SRR11619280	Endothelial
RD_SRR11619281	Mast cell
RD_SRR11619284	Macrophage
RD_SRR11619287	cDC
RD_SRR11619288	cDC
RD_SRR11619293	T cell
RD_SRR11619296	B cell
RD_SRR11619297	B cell
RD_SRR11619303	Macrophage
RD_SRR11619304	Fibroblast
RD_SRR11619309	T cell
RD_SRR11619313	pDC
RD_SRR11619314	T cell
RD_SRR11619315	Fibroblast
RD_SRR11619318	pDC
RD_SRR11619319	Endothelial
RD_SRR11619320	Macrophage
RD_SRR11619325	T cell
RD_SRR11619327	T cell
RD_SRR11619334	Endothelial
RD_SRR11619335	cDC
RD_SRR11619336	Macrophage
RD_SRR11619341	T cell
RD_SRR11619342	T cell
RD_SRR11619343	Fibroblast
RD_SRR11619350	B cell
RD_SRR11619351	cDC
RD_SRR11619355	Macrophage
RD_SRR11619361	T cell
RD_SRR11619362	Endothelial
RD_SRR11619363	Fibroblast
RD_SRR11619364	Mast cell
RD_SRR11619369	T cell
RD_SRR11619370	pDC
RD_SRR11619371	cDC
RD_SRR11619375	T cell
RD_SRR11619376	B cell
RD_SRR11619377	Macrophage
RD_SRR11619378	Mast cell
RD_SRR11619379	Fibroblast
RD_SRR11619380	T cell
RD_SRR11619386	T cell
RD_SRR11619388	Mast cell
RD_SRR11619392	Fibroblast
RD_SRR11619393	Endothelial
RD_SRR11619394	T cell
RD_SRR11619398	T cell
RD_SRR11619399	T cell
RD_SRR11619403	Macrophage
RD_SRR11619404	Endothelial
RD_SRR11619405	T cell
RD_SRR11619412	Macrophage
RD_SRR11619414	Mast cell
RD_SRR11619419	Mast cell
RD_SRR11619420	T cell
RD_SRR11619426	Macrophage
RD_SRR11619427	Fibroblast
RD_SRR11619428	cDC
RD_SRR11619434	Macrophage
RD_SRR11619440	T cell
RD_SRR11619441	T cell
RD_SRR11619442	Mast cell
RD_SRR11619443	Fibroblast
RD_SRR11619449	Endothelial
RD_SRR11619450	T cell
RD_SRR11619451	cDC
RD_SRR11619452	Fibroblast
RD_SRR11619456	pDC
RD_SRR11619457	T cell
RD_SRR11619458	Fibroblast
RD_SRR11619459	Macrophage
RD_SRR11619465	B cell
RD_SRR11619466	cDC
RD_SRR11619471	T cell
RD_SRR11619472	pDC
RD_SRR11619473	cDC
RD_SRR11619474	Macrophage
RD_SRR11619479	T cell
RD_SRR11619480	cDC
RD_SRR11619481	Epithelial
RD_SRR11619486	T cell
RD_SRR11619490	Mast cell
RD_SRR11619496	Mast cell
RD_SRR11619497	cDC
RD_SRR11619503	T cell
RD_SRR11619504	Mast cell
RD_SRR11619505	cDC
RD_SRR11619506	Macrophage
RD_SRR11619508	cDC
RD_SRR11619509	Endothelial
RD_SRR11619512	Macrophage
RD_SRR11619513	T cell
RD_SRR11619514	T cell
RD_SRR11619518	Endothelial
RD_SRR11619522	Macrophage
RD_SRR11619523	Endothelial
RD_SRR11619524	pDC
RD_SRR11619528	B cell
RD_SRR11619529	T cell
RD_SRR11619533	Endothelial
RD_SRR11619539	T cell
RD_SRR11619542	Fibroblast
RD_SRR11619543	Mast cell
RD_SRR11619544	T cell
RD_SRR11619547	Endothelial
RD_SRR11619552	T cell
RD_SRR11619553	B cell
RD_SRR11619558	T cell
RD_SRR11619559	T cell
RD_SRR11619566	cDC
RD_SRR11619573	T cell
RD_SRR11619574	cDC
RD_SRR11619575	cDC
RD_SRR11619580	T cell
RD_SRR11619581	cDC
RD_SRR11619582	Fibroblast
RD_SRR11619593	T cell
RD_SRR11619594	Macrophage
RD_SRR11619600	Mast cell
RD_SRR11619601	Fibroblast
RD_SRR11619602	Epithelial
RD_SRR11619606	T cell
RD_SRR11619607	cDC
RD_SRR11619612	cDC
RD_SRR11619613	Epithelial
RD_SRR11619616	B cell
RD_SRR11619621	cDC
RD_SRR11619622	Fibroblast
RD_SRR11619627	B cell
RD_SRR11619628	Mast cell
RD_SRR11619634	T cell
RD_SRR11619635	Fibroblast
RD_SRR11619636	Fibroblast
RD_SRR11619639	Endothelial
RD_SRR11619640	B cell
RD_SRR11619645	Fibroblast
RD_SRR11619646	B cell
RD_SRR11619647	B cell
RD_SRR11619651	Endothelial
RD_SRR11619652	B cell
RD_SRR11619655	Macrophage
RD_SRR11619656	T cell
RD_SRR11619665	B cell
RD_SRR11619671	Fibroblast
RD_SRR11619672	T cell
RD_SRR11619677	T cell
RD_SRR11619680	Mast cell
RD_SRR11619681	B cell
RD_SRR11619685	B cell
RD_SRR11619690	Macrophage
RD_SRR11619691	cDC
RD_SRR11619692	Endothelial
RD_SRR11619697	cDC
RD_SRR11619700	B cell
RD_SRR11619701	Endothelial
RD_SRR11619702	B cell
RD_SRR11619710	B cell
RD_SRR11619711	B cell
RD_SRR11619715	pDC
RD_SRR11619716	Mast cell
RD_SRR11619719	B cell
RD_SRR11619720	T cell
RD_SRR11619725	cDC
RD_SRR11619726	cDC
RD_SRR11619730	Mast cell
RD_SRR11619731	Macrophage
RD_SRR11619732	Epithelial
RD_SRR11619738	T cell
RD_SRR11619739	Macrophage
RD_SRR11619742	T cell
RD_SRR11619743	cDC
RD_SRR11619747	T cell
RD_SRR11619748	Macrophage
RD_SRR11619752	T cell
RD_SRR11619753	Epithelial
RD_SRR11619754	cDC
RD_SRR11619758	T cell
RD_SRR11619759	Macrophage
RD_SRR11619760	Macrophage
RD_SRR11619763	T cell
RD_SRR11619764	cDC
RD_SRR11619765	Fibroblast
RD_SRR11619769	pDC
RD_SRR11619770	B cell
RD_SRR11619775	B cell
RD_SRR11619776	Epithelial
RD_SRR11619781	Macrophage
RD_SRR11619786	T cell
RD_SRR11619787	Fibroblast
RD_SRR11619788	Fibroblast
RD_SRR11619794	Fibroblast
RD_SRR11619796	B cell
RD_SRR11619797	T cell
RD_SRR11619798	Fibroblast
RD_SRR11619799	Macrophage
RD_SRR11619804	T cell
RD_SRR11619805	T cell
RD_SRR11619806	Macrophage
RD_SRR11619807	Fibroblast
RD_SRR11619812	B cell
RD_SRR11619813	cDC
RD_SRR11619815	B cell
RD_SRR11619820	T cell
RD_SRR11619821	T cell
RD_SRR11619822	cDC
RD_SRR11619823	Macrophage
RD_SRR11619826	Epithelial
RD_SRR11619827	cDC
RD_SRR11619833	cDC
RD_SRR11619836	Macrophage
RD_SRR11619837	Fibroblast
RD_SRR11619838	T cell
RD_SRR11619840	T cell
RD_SRR11619841	B cell
RD_SRR11619844	Endothelial
RD_SRR11619845	B cell
RD_SRR11619850	Macrophage
RD_SRR11619851	Fibroblast
RD_SRR11619852	Mast cell
RD_SRR11619856	Macrophage
RD_SRR11619857	T cell
RD_SRR11619861	T cell
RD_SRR11619862	Macrophage
RD_SRR11619865	B cell
RD_SRR11619866	Macrophage
RD_SRR11619867	Fibroblast
RD_SRR11619869	B cell
RD_SRR11619870	B cell
RD_SRR11619871	B cell
RD_SRR11619874	T cell
RD_SRR11619875	T cell
RD_SRR11619879	T cell
RD_SRR11619880	B cell
RD_SRR11619884	Endothelial
RD_SRR11619885	B cell
RD_SRR11619889	T cell
RD_SRR11619894	T cell
RD_SRR11619895	B cell
RD_SRR11619900	B cell
RD_SRR11619905	T cell
RD_SRR11619906	Endothelial
RD_SRR11619912	Mast cell
RD_SRR11619914	Macrophage
RD_SRR11619915	cDC
RD_SRR11619921	cDC
RD_SRR11619922	Epithelial
RD_SRR11619932	cDC
RD_SRR11619939	cDC
RD_SRR11619940	Fibroblast
RD_SRR11619943	Mast cell
RD_SRR11619946	B cell
RD_SRR11619953	T cell
RD_SRR11619954	T cell
RD_SRR11619960	T cell
RD_SRR11619961	B cell
RD_SRR11619965	cDC
RD_SRR11619971	cDC
RD_SRR11619977	Macrophage
RD_SRR11619978	cDC
RD_SRR11619985	Fibroblast
RD_SRR11619989	Fibroblast
RD_SRR11619990	Macrophage
RD_SRR11619995	cDC
RD_SRR11620001	Mast cell
RD_SRR11620008	Macrophage
RD_SRR11620009	Fibroblast
RD_SRR11620011	T cell
RD_SRR11620012	B cell
RD_SRR11620020	Macrophage
RD_SRR11620025	Fibroblast
RD_SRR11620026	Epithelial
RD_SRR11620034	Macrophage
RD_SRR11620035	Macrophage
RD_SRR11620038	Endothelial
RD_SRR11620039	T cell
RD_SRR11620044	pDC
RD_SRR11620045	T cell
RD_SRR11620050	T cell
RD_SRR11620054	T cell
RD_SRR11620055	B cell
RD_SRR11620059	Mast cell
RD_SRR11620060	Mast cell
RD_SRR11620065	pDC
RD_SRR11620070	B cell
RD_SRR11620071	B cell
RD_SRR11620075	Endothelial
RD_SRR11620076	T cell
RD_SRR11620080	B cell
RD_SRR11620081	Mast cell
RD_SRR11620094	cDC
RD_SRR11620095	cDC
RD_SRR11620100	Macrophage
RD_SRR11620101	cDC
RD_SRR11620107	cDC
RD_SRR11620113	Epithelial
RD_SRR11620121	cDC
RD_SRR11620122	cDC
RD_SRR11620129	Macrophage
RD_SRR11620130	B cell
RD_SRR11620136	Fibroblast
RD_SRR11620142	Epithelial
RD_SRR11620145	Endothelial
RD_SRR11620146	Endothelial
RD_SRR11620153	cDC
RD_SRR11620154	Mast cell
RD_SRR11620167	Macrophage
RD_SRR11620168	cDC
RD_SRR11620170	Endothelial
RD_SRR11620171	Endothelial
RD_SRR11620175	Endothelial
RD_SRR11620176	T cell
RD_SRR11620187	cDC
RD_SRR11620188	B cell
RD_SRR11620193	Fibroblast
RD_SRR11620194	Macrophage
RD_SRR11620199	Macrophage
RD_SRR11620203	B cell
RD_SRR11620206	Macrophage
RD_SRR11620207	cDC
RD_SRR11620212	cDC
RD_SRR11620218	Macrophage
RD_SRR11620219	cDC
RD_SRR11620222	B cell
RD_SRR11620223	Mast cell
RD_SRR11620227	Mast cell
RD_SRR11620228	T cell
RD_SRR11620235	B cell
RD_SRR11620241	B cell
RD_SRR11620246	B cell
RD_SRR11620247	pDC
RD_SRR11620252	T cell
RD_SRR11620256	Endothelial
RD_SRR11620257	B cell
RD_SRR11620266	Mast cell
RD_SRR11620267	B cell
RD_SRR11620272	B cell
RD_SRR11620278	Mast cell
RD_SRR11620285	Endothelial
RD_SRR11620286	B cell
RD_SRR11620291	B cell
RD_SRR11620292	B cell
RD_SRR11620298	Endothelial
RD_SRR11620299	B cell
RD_SRR11620304	Endothelial
RD_SRR11620305	B cell
RD_SRR11620309	cDC
RD_SRR11620310	Epithelial
RD_SRR11620315	Epithelial
RD_SRR11620316	Macrophage
RD_SRR11620322	Macrophage
RD_SRR11620327	Epithelial
RD_SRR11620328	cDC
RD_SRR11620334	Epithelial
RD_SRR11620335	Fibroblast
RD_SRR11620344	Fibroblast
RD_SRR11620345	cDC
RD_SRR11620351	Epithelial
RD_SRR11620352	Endothelial
RD_SRR11620361	Macrophage
RD_SRR11620362	cDC
RD_SRR11620364	B cell
RD_SRR11620365	B cell
RD_SRR11620373	Macrophage
RD_SRR11620374	cDC
RD_SRR11620382	B cell
RD_SRR11620388	Fibroblast
RD_SRR11620389	cDC
RD_SRR11620392	B cell
RD_SRR11620395	Endothelial
RD_SRR11620396	pDC
RD_SRR11620400	T cell
RD_SRR11620401	pDC
RD_SRR11620405	Endothelial
RD_SRR11620406	Mast cell
RD_SRR11620412	Mast cell
RD_SRR11620413	B cell
RD_SRR11620418	Mast cell
RD_SRR11620419	B cell
RD_SRR11620425	Mast cell
RD_SRR11620429	B cell
RD_SRR11620430	B cell
RD_SRR11620436	B cell
RD_SRR11620440	T cell
RD_SRR11620445	Epithelial
RD_SRR11620450	cDC
RD_SRR11620456	Epithelial
RD_SRR11620463	cDC
RD_SRR11620464	Epithelial
RD_SRR11620471	Macrophage
RD_SRR11620478	cDC
RD_SRR11620479	Macrophage
RD_SRR11620484	Epithelial
RD_SRR11620489	Macrophage
RD_SRR11620493	B cell
RD_SRR11620494	Mast cell
RD_SRR11620501	T cell
RD_SRR11620502	T cell
RD_SRR11620509	B cell
RD_SRR11620510	T cell
RD_SRR11620514	Fibroblast
RD_SRR11620515	cDC
RD_SRR11620521	Macrophage
RD_SRR11620522	Fibroblast
RD_SRR11620534	Macrophage
RD_SRR11620535	Epithelial
RD_SRR11620541	cDC
RD_SRR11620542	cDC
RD_SRR11620548	B cell
RD_SRR11620554	Macrophage
RD_SRR11620555	B cell
RD_SRR11620562	cDC
RD_SRR11620563	cDC
RD_SRR11620567	T cell
RD_SRR11620574	Epithelial
RD_SRR11620580	Macrophage
PD_SRR10777254	Epithelial
PD_SRR10777301	Endothelial
PD_SRR10777340	Mast cell
PD_SRR10777395	Mast cell
PD_SRR10777397	Melanocyte
PD_SRR10777454	pDC
PD_SRR10777456	pDC
PD_SRR10777457	Melanocyte
PD_SRR10777514	Macrophage
PD_SRR10777516	cDC
PD_SRR10777518	cDC
PD_SRR10777562	T cell
PD_SRR10777564	Macrophage
PD_SRR10777625	B cell
PD_SRR10777627	T cell
PD_SRR10777629	cDC
PD_SRR10777692	T cell
PD_SRR10777694	T cell
PD_SRR10777756	T cell
PD_SRR10777758	T cell
PD_SRR10777759	cDC
PD_SRR10777822	T cell
PD_SRR10777823	T cell
PD_SRR10777824	T cell
PD_SRR10777858	T cell
PD_SRR10777859	T cell
PD_SRR10777912	Endothelial
PD_SRR10777973	T cell
PD_SRR10777975	T cell
PD_SRR10777977	B cell
PD_SRR10778050	T cell
PD_SRR10778051	B cell
PD_SRR10778112	Macrophage
PD_SRR10778114	cDC
PD_SRR10778115	B cell
PD_SRR10778167	Endothelial
PD_SRR10778170	Fibroblast
PD_SRR10778222	Fibroblast
PD_SRR10778224	Fibroblast
PD_SRR10778282	Fibroblast
PD_SRR10778368	Mast cell
PD_SRR10778369	Endothelial
PD_SRR10778428	pDC
PD_SRR10778429	Mast cell
PD_SRR10778482	B cell
PD_SRR10778483	Endothelial
PD_SRR10778546	Mast cell
PD_SRR10778600	Mast cell
PD_SRR10778601	Endothelial
PD_SRR10778634	T cell
PD_SRR10778682	Macrophage
PD_SRR10778683	T cell
PD_SRR10778737	Macrophage
PD_SRR10778739	T cell
PD_SRR10778803	T cell
PD_SRR10778804	T cell
PD_SRR10778857	T cell
PD_SRR10778859	Macrophage
PD_SRR10778861	Macrophage
PD_SRR10778918	Fibroblast
PD_SRR10778919	T cell
PD_SRR10778980	T cell
PD_SRR10779035	Epithelial
PD_SRR10779100	B cell
PD_SRR10779222	Endothelial
PD_SRR10779224	Fibroblast
PD_SRR10779278	Mast cell
PD_SRR10779281	Endothelial
PD_SRR10779340	pDC
PD_SRR10779405	pDC
PD_SRR10779459	Endothelial
PD_SRR10779577	pDC
PD_SRR10779579	Mast cell
PD_SRR10779637	T cell
PD_SRR10779639	T cell
PD_SRR10779640	T cell
PD_SRR10779728	B cell
PD_SRR10779730	B cell
PD_SRR10779731	B cell
PD_SRR10779831	T cell
PD_SRR10779833	Macrophage
PD_SRR10779894	Endothelial
PD_SRR10779896	Epithelial
PD_SRR10779898	Epithelial
PD_SRR10779969	Macrophage
PD_SRR10779971	B cell
PD_SRR10780042	B cell
PD_SRR10780102	Macrophage
PD_SRR10780104	T cell
PD_SRR10780106	T cell
PD_SRR10780167	Epithelial
PD_SRR10780220	Fibroblast
PD_SRR10780222	Fibroblast
PD_SRR10780284	Epithelial
PD_SRR10780341	Fibroblast
PD_SRR10780344	Epithelial
PD_SRR10780402	Mast cell
PD_SRR10780404	Melanocyte
PD_SRR10780470	Melanocyte
PD_SRR10780472	Melanocyte
PD_SRR10780530	Melanocyte
PD_SRR10780532	Mast cell
PD_SRR10780591	Epithelial
PD_SRR10780592	Epithelial
PD_SRR10780641	Mast cell
PD_SRR10780643	Mast cell
PD_SRR10780748	T cell
PD_SRR10780750	Macrophage
PD_SRR10780806	T cell
PD_SRR10780808	T cell
PD_SRR10780809	T cell
PD_SRR10780873	T cell
PD_SRR10780876	Macrophage
PD_SRR10780939	T cell
PD_SRR10780941	T cell
PD_SRR10780943	T cell
PD_SRR10781008	cDC
PD_SRR10781010	Fibroblast
PD_SRR10781073	T cell
PD_SRR10781075	B cell
PD_SRR10781077	B cell
PD_SRR10781121	T cell
PD_SRR10781123	T cell
PD_SRR10781125	T cell
PD_SRR10781177	Fibroblast
PD_SRR10781245	Macrophage
PD_SRR10781247	T cell
PD_SRR10781249	cDC
PD_SRR10781313	B cell
PD_SRR10781315	T cell
PD_SRR10781317	T cell
PD_SRR10781382	T cell
PD_SRR10781384	Macrophage
PD_SRR10781386	T cell
PD_SRR10781446	Epithelial
PD_SRR10781448	Epithelial
PD_SRR10781508	Fibroblast
PD_SRR10781511	Fibroblast
PD_SRR10781632	Fibroblast
PD_SRR10781634	Fibroblast
PD_SRR10781696	pDC
PD_SRR10781758	pDC
PD_SRR10781760	pDC
PD_SRR10781761	Mast cell
PD_SRR10781822	Melanocyte
PD_SRR10781824	pDC
PD_SRR10781942	pDC
PD_SRR10781943	Melanocyte
PD_SRR10781945	Melanocyte
PD_SRR10782000	Mast cell
PD_SRR10782003	Mast cell
PD_SRR10782060	Fibroblast
PD_SRR10782062	T cell
PD_SRR10782064	B cell
PD_SRR10782122	cDC
PD_SRR10782125	cDC
PD_SRR10782185	Macrophage
PD_SRR10782187	Macrophage
PD_SRR10782246	B cell
PD_SRR10782249	cDC
PD_SRR10782308	T cell
PD_SRR10782310	T cell
PD_SRR10782374	T cell
PD_SRR10782376	T cell
PD_SRR10782378	T cell
PD_SRR10782439	Macrophage
PD_SRR10782441	T cell
PD_SRR10782442	Macrophage
PD_SRR10782506	cDC
PD_SRR10782508	T cell
PD_SRR10782568	Endothelial
PD_SRR10782569	Endothelial
PD_SRR10782641	T cell
PD_SRR10782643	B cell
PD_SRR10782644	cDC
PD_SRR10782690	T cell
PD_SRR10782757	Fibroblast
PD_SRR10782817	Epithelial
PD_SRR10782874	Epithelial
PD_SRR10782876	Epithelial
PD_SRR10782937	Fibroblast
PD_SRR10782940	Epithelial
PD_SRR10783006	Mast cell
PD_SRR10783009	pDC
PD_SRR10783075	Mast cell
PD_SRR10783077	Mast cell
PD_SRR10783136	Melanocyte
PD_SRR10783140	Endothelial
PD_SRR10783200	Epithelial
PD_SRR10783202	T cell
PD_SRR10783313	pDC
PD_SRR10783315	Mast cell
PD_SRR10783427	T cell
PD_SRR10783429	T cell
PD_SRR10783431	T cell
PD_SRR10783496	T cell
PD_SRR10783497	Macrophage
PD_SRR10783610	T cell
PD_SRR10783612	B cell
PD_SRR10783678	cDC
PD_SRR10783680	T cell
PD_SRR10783807	B cell
PD_SRR10783811	cDC
PD_SRR10783832	Fibroblast
PD_SRR10783900	Epithelial
PD_SRR10783902	Macrophage
PD_SRR10784026	Endothelial
PD_SRR10784029	Epithelial
PD_SRR10784092	Mast cell
PD_SRR10784094	Mast cell
PD_SRR10784206	Fibroblast
PD_SRR10784208	Mast cell
PD_SRR10784302	T cell
PD_SRR10784303	Macrophage
PD_SRR10784305	Macrophage
PD_SRR10784366	Macrophage
PD_SRR10784368	Macrophage
PD_SRR10784370	cDC
PD_SRR10784467	T cell
PD_SRR10784470	B cell
PD_SRR10784532	Macrophage
PD_SRR10784534	T cell
PD_SRR10784535	B cell
PD_SRR10784600	T cell
PD_SRR10784663	T cell
PD_SRR10784726	T cell
PD_SRR10784728	T cell
PD_SRR10784729	B cell
PD_SRR10784791	Fibroblast
PD_SRR10784793	Epithelial
PD_SRR10784854	Mast cell
PD_SRR10784916	Mast cell
PD_SRR10784918	pDC
PD_SRR10784920	Melanocyte
PD_SRR10785009	Mast cell
PD_SRR10785055	T cell
PD_SRR10785056	B cell
PD_SRR10785124	T cell
PD_SRR10785126	Fibroblast
PD_SRR10785128	B cell
PD_SRR10785167	T cell
PD_SRR10785170	Macrophage
PD_SRR10785232	Fibroblast
PD_SRR10785295	cDC
PD_SRR10785297	Macrophage
PD_SRR10785299	Macrophage
PD_SRR10785365	B cell
PD_SRR10785367	B cell
PD_SRR10785368	Macrophage
PD_SRR10785428	B cell
PD_SRR10785430	T cell
PD_SRR10785431	B cell
PD_SRR10785556	B cell
PD_SRR10785558	Endothelial
PD_SRR10785591	Endothelial
PD_SRR10785654	pDC
PD_SRR10785656	Melanocyte
PD_SRR10785717	pDC
PD_SRR10785719	Mast cell
PD_SRR10785800	Mast cell
PD_SRR10785912	T cell
PD_SRR10785914	T cell
PD_SRR10785915	B cell
PD_SRR10785975	B cell
PD_SRR10785978	B cell
PD_SRR10786044	Macrophage
PD_SRR10786046	T cell
PD_SRR10786148	T cell
PD_SRR10786150	B cell
PD_SRR10786151	T cell
PD_SRR10786213	B cell
PD_SRR10786217	B cell
PD_SRR10786281	cDC
PD_SRR10786283	Fibroblast
PD_SRR10786285	cDC
PD_SRR10786343	Endothelial
PD_SRR10786346	Fibroblast
PD_SRR10786419	T cell
PD_SRR10786421	Macrophage
PD_SRR10786485	B cell
PD_SRR10786487	cDC
PD_SRR10786489	Epithelial
PD_SRR10786553	B cell
PD_SRR10786555	T cell
PD_SRR10786557	B cell
PD_SRR10786607	B cell
PD_SRR10786608	Fibroblast
PD_SRR10786609	B cell
PD_SRR10786671	Fibroblast
PD_SRR10786726	Epithelial
PD_SRR10786727	Fibroblast
PD_SRR10786838	Endothelial
PD_SRR10786902	Mast cell
PD_SRR10786955	Mast cell
PD_SRR10786956	Endothelial
PD_SRR10787009	B cell
PD_SRR10787063	Endothelial
PD_SRR10787065	Mast cell
PD_SRR10787066	Mast cell
PD_SRR10787117	pDC
PD_SRR10787119	pDC
PD_SRR10787173	T cell
PD_SRR10787175	Macrophage
PD_SRR10787177	cDC
PD_SRR10787233	T cell
PD_SRR10787291	cDC
PD_SRR10787292	Macrophage
PD_SRR10787355	Macrophage
PD_SRR10787356	B cell
PD_SRR10787416	B cell
PD_SRR10787418	T cell
PD_SRR10787477	Macrophage
PD_SRR10787479	T cell
PD_SRR10787480	T cell
PD_SRR10787537	Epithelial
PD_SRR10787539	T cell
PD_SRR10787541	T cell
PD_SRR10787599	cDC
PD_SRR10787601	B cell
PD_SRR10787659	T cell
PD_SRR10787729	B cell
PD_SRR10787731	Macrophage
PD_SRR10787732	B cell
PD_SRR10787796	T cell
PD_SRR10787798	B cell
PD_SRR10787860	T cell
PD_SRR10787862	cDC
PD_SRR10787922	Fibroblast
PD_SRR10787925	Epithelial
PD_SRR10787983	Epithelial
PD_SRR10788033	Endothelial
PD_SRR10788035	Epithelial
PD_SRR10788091	Endothelial
PD_SRR10788093	B cell
PD_SRR10788165	pDC
PD_SRR10788225	Fibroblast
PD_SRR10788228	Fibroblast
PD_SRR10788265	Mast cell
PD_SRR10788314	T cell
PD_SRR10788316	B cell
PD_SRR10788382	T cell
PD_SRR10788384	T cell
PD_SRR10788385	T cell
PD_SRR10788446	T cell
PD_SRR10788448	Macrophage
PD_SRR10788450	T cell
PD_SRR10788510	Endothelial
PD_SRR10788622	Fibroblast
PD_SRR10788624	Epithelial
PD_SRR10788644	Mast cell
PD_SRR10788699	Macrophage
PD_SRR10788783	T cell
PD_SRR10788785	cDC
PD_SRR10788787	T cell
PD_SRR10788846	cDC
PD_SRR10788848	T cell
PD_SRR10788918	cDC
PD_SRR10788920	Macrophage
PD_SRR10788921	cDC
PD_SRR10788978	T cell
PD_SRR10788980	cDC
PD_SRR10788982	T cell
PD_SRR10789035	Endothelial
PD_SRR10789083	Epithelial
PD_SRR10789085	Epithelial
PD_SRR10789087	Fibroblast
PD_SRR10789147	Fibroblast
PD_SRR10789209	Endothelial
PD_SRR10789211	pDC
PD_SRR10789292	Fibroblast
PD_SRR10789294	Fibroblast
PD_SRR10789343	Mast cell
PD_SRR10789345	pDC
PD_SRR10789347	pDC
PD_SRR10789459	T cell
PD_SRR10789461	B cell
PD_SRR10789463	cDC
PD_SRR10789521	B cell
PD_SRR10789525	T cell
PD_SRR10789580	B cell
PD_SRR10789582	T cell
PD_SRR10789584	B cell
PD_SRR10789643	cDC
PD_SRR10789645	T cell
PD_SRR10789647	B cell
PD_SRR10789710	cDC
PD_SRR10789712	B cell
PD_SRR10789768	Epithelial
PD_SRR10789826	B cell
PD_SRR10789828	T cell
PD_SRR10789830	B cell
PD_SRR10789891	T cell
PD_SRR10789893	T cell
PD_SRR10789895	B cell
PD_SRR10789952	B cell
PD_SRR10789954	B cell
PD_SRR10790013	Fibroblast
PD_SRR10790015	Epithelial
PD_SRR10790068	Fibroblast
PD_SRR10790070	Epithelial
PD_SRR10790123	Endothelial
PD_SRR10790173	Epithelial
PD_SRR10790284	Mast cell
PD_SRR10790341	Endothelial
PD_SRR10790343	Mast cell
PD_SRR10790424	T cell
PD_SRR10790426	Macrophage
PD_SRR10790427	T cell
PD_SRR10790487	T cell
PD_SRR10790489	T cell
PD_SRR10790491	Macrophage
PD_SRR10790550	cDC
PD_SRR10790552	B cell
PD_SRR10790628	T cell
PD_SRR10790631	T cell
PD_SRR10790687	Epithelial
PD_SRR10790746	Macrophage
PD_SRR10790748	B cell
PD_SRR10790816	Macrophage
PD_SRR10790818	T cell
PD_SRR10790819	B cell
PD_SRR10790864	Epithelial
PD_SRR10790918	Epithelial
PD_SRR10790937	Melanocyte
PD_SRR10790992	pDC
PD_SRR10791028	T cell
PD_SRR10791030	T cell
PD_SRR10791032	T cell
PD_SRR10791080	T cell
PD_SRR10791082	Macrophage
PD_SRR10791084	T cell
PD_SRR10791115	T cell
PD_SRR10791118	Macrophage
PD_SRR10791179	Macrophage
PD_SRR10791181	T cell
PD_SRR10791182	Macrophage
PD_SRR10791244	B cell
PD_SRR10791245	T cell
PD_SRR10791247	T cell
PD_SRR10791323	pDC
PD_SRR10791325	Melanocyte
PD_SRR10791362	pDC
PD_SRR10791363	Melanocyte
PD_SRR10791365	Melanocyte
PD_SRR10791422	Mast cell
PD_SRR10791438	Macrophage
PD_SRR10791439	T cell
PD_SRR10791440	T cell
PD_SRR10791500	Endothelial
PD_SRR10791518	B cell
PD_SRR10791520	T cell
PD_SRR10791521	T cell
PD_SRR10791580	Macrophage
PD_SRR10791582	B cell
PD_SRR10791583	Macrophage
PD_SRR10791628	B cell
PD_SRR10791630	cDC
PD_SRR10791699	B cell
PD_SRR10791702	T cell
PD_SRR10791765	T cell
PD_SRR10791767	T cell
PD_SRR10791769	Macrophage
PD_SRR10791819	T cell
PD_SRR10791823	T cell
PD_SRR10791903	T cell
PD_SRR10791905	T cell
PD_SRR10791967	B cell
PD_SRR10791968	Endothelial
PD_SRR10792032	T cell
PD_SRR10792034	Macrophage
PD_SRR10792104	T cell
PD_SRR10792106	T cell
PD_SRR10792179	Endothelial
PD_SRR10792181	pDC
PD_SRR10792239	Fibroblast
PD_SRR10792240	Fibroblast
PD_SRR10792242	Epithelial
PD_SRR10792296	Melanocyte
PD_SRR10792298	Mast cell
PD_SRR10792319	T cell
PD_SRR10792321	T cell
PD_SRR10792445	Macrophage
PD_SRR10792447	B cell
PD_SRR10792449	B cell
PD_SRR10792509	T cell
PD_SRR10792510	cDC
PD_SRR10792511	cDC
PD_SRR10792615	Fibroblast
PD_SRR10792616	Epithelial
PD_SRR10792682	pDC
PD_SRR10792738	B cell
PD_SRR10792739	Epithelial
PD_SRR10792741	Endothelial
PD_SRR10792754	cDC
PD_SRR10792755	Macrophage
PD_SRR10792757	Macrophage
PD_SRR10792821	T cell
PD_SRR10792823	B cell
PD_SRR10792824	T cell
PD_SRR10792858	Endothelial
PD_SRR10792860	Mast cell
PD_SRR10792916	Endothelial
PD_SRR10792959	T cell
PD_SRR10793020	Macrophage
PD_SRR10793021	T cell
PD_SRR10793085	T cell
PD_SRR10793087	T cell
PD_SRR10793088	Macrophage
PD_SRR10793150	T cell
