"logFC","logCPM","F","PValue","FDR","gene","cluster_id","contrast","Significant","neglogFDR"
2.4128427177814,9.73111726920715,148.006770365645,1.20868042829603e-32,4.95945753338429e-28,"CFL1","B cell","PD - RD",TRUE,27.3045658241432
1.81621060706201,13.9129845846968,128.180027266695,3.07510505477465e-28,6.30888553037568e-24,"ACTB","B cell","PD - RD",TRUE,23.2000473524446
-2.4201484076473,9.61627561606573,124.928630206729,5.10154517960196e-28,6.97755339364759e-24,"RPL23","B cell","PD - RD",TRUE,23.1562968315175
2.09456403234965,11.4430212755831,123.736708770459,1.16931103085806e-27,1.1994792554542e-23,"MT-CO3","B cell","PD - RD",TRUE,22.9210072585921
8.67870008049062,2.97340983996107,116.651728953476,4.64508092429975e-26,3.81193920971735e-22,"RPS4Y1","B cell","PD - RD",TRUE,21.4188540338193
-9.56340603875,3.64938814268316,109.79987895024,1.0376069668199e-24,7.09584817709239e-21,"XIST","B cell","PD - RD",TRUE,20.1489956852502
8.82376170319258,2.8932795287041,96.3576797991584,6.90278164381126e-22,4.04621337726948e-18,"DDX3Y","B cell","PD - RD",TRUE,17.3929512184196
-10.6280633491366,3.32547843430143,90.6132359140344,8.45928857983249e-21,4.33876911259608e-17,"THBS1","B cell","PD - RD",TRUE,16.3626334602173
-11.3738871033251,2.24442856072996,82.4874481164691,4.179898596548e-19,1.90566221348397e-15,"CCL18","B cell","PD - RD",TRUE,14.7199540773707
1.5447594631388,10.5695368226422,80.998957339329,6.31074698333646e-19,2.58942570220262e-15,"PFN1","B cell","PD - RD",TRUE,14.5867965455792
13.225818507002,1.87202625972171,98.2795459221168,2.19165948423766e-22,8.99281719572398e-18,"IGHM","B cell","TN - PD",TRUE,17.0461042347524
8.32311658883127,3.64938814268316,92.3366156705937,3.68184168855145e-21,7.55366640823216e-17,"XIST","B cell","TN - PD",TRUE,16.1218421987861
10.4220714124386,3.32547843430143,88.6410950761476,2.14641491695042e-20,2.93572322907699e-16,"THBS1","B cell","TN - PD",TRUE,15.5322848907691
11.3459811182746,1.60782682718687,86.4691251199037,9.55665259205496e-20,9.80321422892998e-16,"JCHAIN","B cell","TN - PD",TRUE,15.0086315066525
11.2338525416065,2.24442856072996,81.4897377839277,6.70765366949779e-19,5.50456890733667e-15,"CCL18","B cell","TN - PD",TRUE,14.2592766873182
7.30962995080323,3.28400871167627,68.0112294964993,3.71097982935537e-16,2.53781540596849e-12,"TSIX","B cell","TN - PD",TRUE,11.5955399705332
-8.89899072345753,1.70261344605164,64.0607997505248,2.88739973819898e-15,1.69251122939686e-11,"KRT14","B cell","TN - PD",TRUE,10.7714684411959
9.25928940381348,1.44867286866037,64.6431999316364,3.85760935211106e-15,1.97856783669776e-11,"MS4A1","B cell","TN - PD",TRUE,10.7036490550272
-7.6052996155725,1.50133354247434,60.5933151225579,1.98487970386131e-14,8.14435840088373e-11,"ELAVL4","B cell","TN - PD",TRUE,10.0891431230106
-9.16259233566515,1.36381805362331,62.2139538165279,1.79087130902884e-14,8.14435840088373e-11,"TFF3","B cell","TN - PD",TRUE,10.0891431230106
2.05839202813852,9.73111726920715,117.86423878233,1.49606140080131e-26,4.41532314656355e-22,"CFL1","B cell","TN - RD",TRUE,21.3550375059859
10.2246339043247,2.8932795287041,118.867170608429,2.15213645279954e-26,4.41532314656355e-22,"DDX3Y","B cell","TN - RD",TRUE,21.3550375059859
6.89261182164074,2.97340983996107,85.2495700621258,1.09208747527697e-19,1.49368444285215e-15,"RPS4Y1","B cell","TN - RD",TRUE,14.8257411422817
1.34892603327903,13.9129845846968,78.3995790555988,3.15040771875647e-18,3.23168823790039e-14,"ACTB","B cell","TN - RD",TRUE,13.4905705424179
10.2146732943647,1.79692024626264,70.3830758758141,1.37030790749513e-16,1.12452948120681e-12,"PMEL","B cell","TN - RD",TRUE,11.9490291544057
-9.51109428545429,1.26962947416888,68.5263333701913,3.96236242722728e-16,2.70972758523317e-12,"KRT18P61","B cell","TN - RD",TRUE,11.5670743674934
8.68948813572804,1.49068425886732,65.2908313329655,1.86765537083014e-15,1.0947662167986e-11,"CCL17","B cell","TN - RD",TRUE,10.9606786128735
-7.79305813677739,1.52367866211964,63.1602100819366,4.85985190856592e-15,2.21566048346974e-11,"FCGR3B","B cell","TN - RD",TRUE,10.6544967879203
-8.72264748145521,1.70261344605164,63.2207713813493,4.32653255153565e-15,2.21566048346974e-11,"KRT14","B cell","TN - RD",TRUE,10.6544967879203
7.05335267396782,1.99919260436083,61.1003856674528,1.14992988260836e-14,4.7183922943186e-11,"USP9Y","B cell","TN - RD",TRUE,10.3262059540449
9.40691057742434,3.06961999856369,89.4058398432567,1.14260824492788e-19,4.68835015058808e-15,"SDC1","Endothelial","PD - RD",TRUE,14.3289799603881
